held_out,n_train,n_test,prev_test,pred_prev,auc,brier,null_brier,null_brier_train,calib_intercept,calib_slope,calib_scale,outcome
Gambia,2800,1020,0.20098039215686275,0.19054028655898458,0.584255573844082,0.1587585233078998,0.16058727412533644,0.166802631052421,-0.3165006644502618,0.7265104719290395,logit,child_vitA
Ghana,2655,1165,0.14935622317596567,0.12727307338299568,0.5952857325121496,0.12556855213089405,0.12704894177457682,0.12712755803305403,0.0560236235347424,0.9299550443318528,logit,child_vitA
SierraLeone,3334,486,0.12551440329218108,0.1369778149140255,0.5375313404050145,0.11082129644314628,0.1097605378583888,0.11017086132271055,-3.5676852157414145,-0.875250480795287,logit,child_vitA
Malawi,2671,1149,0.09312445604873804,0.10671582345036534,0.5449216998224119,0.08454184493135818,0.08445229173436469,0.08957997648133376,-0.747681289571874,0.7179961461669048,logit,child_vitA
Gambia,2602,1413,0.02689313517338995,0.015634703256506725,0.7254258373205742,0.02603278708335727,0.026169894453935725,0.026302612803130683,3.258073517786313,1.681401083779251,logit,women_vitA
Ghana,3023,992,0.015120967741935484,0.012708852368016397,0.5957693619924941,0.01488706312148086,0.01489232407648283,0.014925033979404584,-1.3606947613835634,0.6413148453956473,logit,women_vitA
SierraLeone,3241,774,0.01808785529715762,0.011188205591467925,0.5400375939849624,0.017827476794944785,0.017760684787906707,0.017763437521407868,-8.260959397814437,-0.9441180480240148,logit,women_vitA
Malawi,3179,836,0.013157894736842105,0.02964589719852192,0.5607162534435262,0.013277457375396732,0.012984764542936287,0.01304745792510065,-1.2346120663878064,0.8831194783087226,logit,women_vitA
Gambia,2800,1013,0.41954590325765057,0.30588816096834026,0.5784453781512605,0.2526633994981018,0.2435271383173727,0.31695430424884663,0.1692128964226457,0.5767787008594912,logit,child_iron
Ghana,2648,1165,0.23862660944206007,0.1663536373246831,0.5179835838206549,0.18829384207527886,0.1816839507082466,0.1823606433378893,-0.8718109472378401,0.17578480222331272,logit,child_iron
SierraLeone,3327,486,0.05761316872427984,0.0667368904299822,0.5359092326887087,0.05476142318548199,0.054293891513827505,0.08916987361649893,-1.6716890413025671,0.41757946510477195,logit,child_iron
Malawi,2664,1149,0.09573542210617929,0.09099806604452769,0.5070391110333362,0.08748926725067588,0.08657015106033097,0.11849096784256324,-1.9610859863058256,0.12077487053852885,logit,child_iron
Gambia,2749,1402,0.31169757489301,0.17635963620521322,0.6091082628851923,0.2248182689650668,0.2145421966988264,0.26456848088384577,0.7075041709602331,0.9534413614064703,logit,women_iron
Ghana,3065,1086,0.07642725598526703,0.13969429464583275,0.4675191293589112,0.09254177787261601,0.0705861305278295,0.08451632653690345,-2.282048083882907,0.09816588438128802,logit,women_iron
SierraLeone,3324,827,0.08827085852478839,0.03964886312605667,0.5417045165509974,0.08382855607055256,0.08047911406008518,0.08932256245748653,-2.4867560397477977,-0.04361977833213193,logit,women_iron
Malawi,3315,836,0.10287081339712918,0.0997744035672598,0.5212635658914728,0.09262666066245133,0.09228840914814221,0.09806639259001866,-3.265202066834265,-0.4971739498444585,logit,women_iron
