country,outcome,domain,n_in_domain,n_areas,base_mae,drop_mae,drop_cost,alone_mae,sel_rate
Gambia,child_vitA,Built environment,12,30,0.11052,0.11052,0,0.14163,0
Gambia,child_vitA,"Agricultural production, land use",93,30,0.11052,0.10915,-0.00137,0.12112,0.25
Gambia,child_vitA,Climate and weather,41,30,0.11052,0.11755,0.00703,0.10038,0.2833
Gambia,child_vitA,"Ruralness, population density, built environment",9,30,0.11052,0.11052,0,0.18987,0
Gambia,child_vitA,Adult nutrition,9,30,0.11052,0.10897,-0.00155,0.13751,0.0333
Gambia,child_vitA,Infant and child morbidity/mortality,37,30,0.11052,0.11052,0,0.14159,0
Gambia,child_vitA,Dietary diversity,11,30,0.11052,0.11052,0,0.13586,0
Gambia,child_vitA,"Fertility, reproductive health",23,30,0.11052,0.10645,-0.00407,0.12419,0.1
Gambia,child_vitA,Household assets and characteristics,12,30,0.11052,0.10916,-0.00136,0.13003,0.05
Gambia,child_vitA,Water and sanitation,9,30,0.11052,0.11052,0,0.15892,0
Gambia,child_vitA,"Education, employment, SES",9,30,0.11052,0.1123,0.00179,0.13292,0.1333
Gambia,child_vitA,Ecosystem productivity/greenness,16,30,0.11052,0.11052,0,0.14072,0
Gambia,child_vitA,Soil characteristics,45,30,0.11052,0.10926,-0.00126,0.1186,0.1167
Gambia,child_vitA,Malaria incidence and treatment,23,30,0.11052,0.11003,-4.9e-4,0.12551,0.0167
Gambia,child_vitA,Food fortification and supplementation,6,30,0.11052,0.11052,0,0.15123,0
Gambia,child_vitA,Healthcare access,6,30,0.11052,0.11052,0,0.13131,0
Gambia,child_vitA,Adult and maternal mortality,9,30,0.11052,0.10913,-0.00138,0.12356,0.0167
Gambia,women_vitA,Built environment,12,30,0.0316,0.0316,0,0.03466,0
Gambia,women_vitA,"Agricultural production, land use",93,30,0.0316,0.0314,-2.1e-4,0.03118,0.2667
Gambia,women_vitA,Climate and weather,41,30,0.0316,0.03244,8.4e-4,0.03066,0.3833
Gambia,women_vitA,"Ruralness, population density, built environment",9,30,0.0316,0.0316,0,0.03445,0
Gambia,women_vitA,Adult nutrition,9,30,0.0316,0.03157,-3e-5,0.03349,0.05
Gambia,women_vitA,Infant and child morbidity/mortality,37,30,0.0316,0.03161,1e-5,0.0373,0.0333
Gambia,women_vitA,Dietary diversity,11,30,0.0316,0.0316,0,0.03598,0
Gambia,women_vitA,"Fertility, reproductive health",23,30,0.0316,0.03089,-7.1e-4,0.03312,0.1
Gambia,women_vitA,Household assets and characteristics,12,30,0.0316,0.03146,-1.4e-4,0.03349,0.0333
Gambia,women_vitA,Water and sanitation,9,30,0.0316,0.0316,0,0.03491,0
Gambia,women_vitA,"Education, employment, SES",9,30,0.0316,0.0316,0,0.03028,0
Gambia,women_vitA,Ecosystem productivity/greenness,16,30,0.0316,0.03154,-6e-5,0.0338,0.0167
Gambia,women_vitA,Soil characteristics,45,30,0.0316,0.03142,-1.8e-4,0.03174,0.0667
Gambia,women_vitA,Malaria incidence and treatment,23,30,0.0316,0.03146,-1.4e-4,0.03173,0.0333
Gambia,women_vitA,Food fortification and supplementation,6,30,0.0316,0.0316,0,0.03754,0
Gambia,women_vitA,Healthcare access,6,30,0.0316,0.03157,-3e-5,0.03723,0.0167
Gambia,women_vitA,Adult and maternal mortality,9,30,0.0316,0.0316,0,0.03536,0
Gambia,child_iron,Built environment,12,30,0.12748,0.12748,0,0.15004,0
Gambia,child_iron,"Agricultural production, land use",93,30,0.12748,0.12187,-0.00561,0.13662,0.25
Gambia,child_iron,Climate and weather,41,30,0.12748,0.12917,0.00169,0.13119,0.25
Gambia,child_iron,"Ruralness, population density, built environment",9,30,0.12748,0.12748,0,0.14813,0
Gambia,child_iron,Adult nutrition,9,30,0.12748,0.12748,0,0.15479,0
Gambia,child_iron,Infant and child morbidity/mortality,37,30,0.12748,0.12748,0,0.15304,0
Gambia,child_iron,Dietary diversity,11,30,0.12748,0.13223,0.00475,0.12078,0.0667
Gambia,child_iron,"Fertility, reproductive health",23,30,0.12748,0.12715,-3.3e-4,0.15028,0.0333
Gambia,child_iron,Household assets and characteristics,12,30,0.12748,0.1281,6.2e-4,0.14788,0.0167
Gambia,child_iron,Water and sanitation,9,30,0.12748,0.12793,4.6e-4,0.16966,0.05
Gambia,child_iron,"Education, employment, SES",9,30,0.12748,0.12644,-0.00103,0.1488,0.0333
Gambia,child_iron,Ecosystem productivity/greenness,16,30,0.12748,0.12748,0,0.14436,0
Gambia,child_iron,Soil characteristics,45,30,0.12748,0.12046,-0.00702,0.13684,0.2333
Gambia,child_iron,Malaria incidence and treatment,23,30,0.12748,0.13124,0.00377,0.13946,0.05
Gambia,child_iron,Food fortification and supplementation,6,30,0.12748,0.12748,0,0.16137,0
Gambia,child_iron,Healthcare access,6,30,0.12748,0.12766,1.8e-4,0.15706,0.0167
Gambia,child_iron,Adult and maternal mortality,9,30,0.12748,0.12748,0,0.15502,0
Gambia,women_iron,Built environment,12,30,0.12232,0.12232,0,0.12295,0
Gambia,women_iron,"Agricultural production, land use",93,30,0.12232,0.12488,0.00256,0.11803,0.3167
