country,outcome,target,variable,n_areas,r,mae,null_mae,mae_vs_null,beats_null,lift,lift_oracle,lift_share,n_cov
Gambia,child_vitA,prev,gw_cVAD_Thurn,30,0.0581,0.12329,0.13713,-0.01384,TRUE,1.089,2.063,0.084,371
Gambia,child_vitA,level,gw_cRBPAdjThurn,30,0.7519,0.05611,0.09911,-0.043,TRUE,1.106,1.158,0.669,371
Gambia,women_vitA,prev,gw_wVAD_Thurn,30,0.5207,0.03118,0.0394,-0.00822,TRUE,1.647,3.398,0.27,371
Gambia,women_vitA,level,gw_wRBPAdjThurn,30,0.6921,0.10077,0.16601,-0.06524,TRUE,1.108,1.184,0.587,371
Gambia,child_iron,prev,gw_cIDA_Brinda,30,0.1333,0.13632,0.15621,-0.01989,TRUE,0.873,1.489,-0.259,371
Gambia,child_iron,level,gw_LogFerAdj,30,0.2203,0.22865,0.2586,-0.02994,TRUE,1.1,1.166,0.601,371
Gambia,women_iron,prev,gw_wIDA_Brinda,30,0.4938,0.11751,0.16273,-0.04523,TRUE,1.312,1.686,0.456,371
Gambia,women_iron,level,gw_LogFerAdj,30,0.6083,0.21852,0.33415,-0.11563,TRUE,1.105,1.163,0.646,371
Ghana,child_vitA,prev,gw_cVADAdjThurn,75,0.1168,0.10682,0.10268,0.00414,FALSE,0.972,2.305,-0.021,362
Ghana,child_vitA,level,gw_cRBPAdjThurn,75,0.0556,0.12125,0.10553,0.01572,FALSE,1.028,1.216,0.129,362
Ghana,women_vitA,prev,gw_wVADAdjThurn,75,0.049,0.02113,0.02768,-0.00655,TRUE,1.237,5,0.059,362
Ghana,women_vitA,level,gw_wRBPAdjThurn,75,0.3346,0.20732,0.21114,-0.00382,TRUE,1.065,1.209,0.309,362
Ghana,child_iron,prev,gw_cIDAdjThurn,75,0.5133,0.13853,0.18451,-0.04599,TRUE,1.649,2.388,0.467,362
Ghana,child_iron,level,gw_cFerrAdjThurn,75,0.3565,10.22063,10.59884,-0.3782,TRUE,1.236,1.603,0.391,362
Ghana,women_iron,prev,gw_wIDA_Thurn,75,-0.0761,0.0787,0.07023,0.00848,FALSE,0.843,2.765,-0.089,362
Ghana,women_iron,level,gw_wFerrAdjThurn,75,0.0776,17.42155,12.07149,5.35006,FALSE,1.001,1.439,0.002,362
Ghana,women_folate,prev,gw_wFolateDef,75,0.1227,0.29013,0.25533,0.0348,FALSE,1.081,1.7,0.116,362
Ghana,women_folate,level,gw_wFolate,75,0.4068,3.78198,4.41972,-0.63774,TRUE,1.244,1.639,0.382,362
Ghana,women_b12,prev,gw_wB12Def,75,-0.1196,0.13627,0.13137,0.00491,FALSE,0.559,3.724,-0.162,362
Ghana,women_b12,level,gw_wB12,75,-0.0248,1389.98036,126.48452,1263.49584,FALSE,1.265,1.518,0.511,362
Sierra Leone,child_vitA,prev,gw_cVAD,14,0.1709,0.09705,0.047,0.05005,FALSE,1.161,1.703,0.229,369
Sierra Leone,child_vitA,level,gw_cRBPAdj,14,0.1739,0.12119,0.04044,0.08075,FALSE,0.97,1.068,-0.441,369
Sierra Leone,women_vitA,prev,gw_wVAD,14,0.042,0.01208,0.01275,-6.7e-4,TRUE,0.608,2.847,-0.213,369
Sierra Leone,women_vitA,level,gw_wRBPAdj,14,0.3438,0.09638,0.09856,-0.00217,TRUE,1.051,1.121,0.426,369
Sierra Leone,child_iron,prev,gw_cIDA,14,0.2114,0.03828,0.04133,-0.00305,TRUE,0.963,2.285,-0.029,369
Sierra Leone,child_iron,level,gw_cFerrAdj,14,0.4228,8.28324,10.09059,-1.80735,TRUE,1.149,1.217,0.685,369
Sierra Leone,women_iron,prev,gw_wIDA,14,-0.1575,0.06157,0.05163,0.00994,FALSE,0.855,2.036,-0.14,369
Sierra Leone,women_iron,level,gw_wFerAdjBR1,14,0.1914,295.22786,3.7984,291.42946,FALSE,0.961,1.161,-0.242,369
Sierra Leone,women_folate,prev,gw_wFolDef,14,-0.5075,0.14243,0.10306,0.03937,FALSE,0.969,1.174,-0.18,369
Sierra Leone,women_folate,level,gw_wFolate,14,-0.0247,1.23035,1.17365,0.0567,FALSE,0.927,1.229,-0.317,369
Sierra Leone,women_b12,level,gw_B12,14,-0.7301,103.51975,98.60894,4.91081,FALSE,0.941,1.231,-0.256,369
Malawi,child_vitA,prev,vitA_def,87,0.0058,0.08701,0.08533,0.00169,FALSE,0.964,3.053,-0.018,369
Malawi,child_vitA,level,rbp,87,0.1121,0.08209,0.07868,0.00341,FALSE,1.004,1.166,0.022,369
Malawi,women_vitA,prev,vitA_def,87,-0.1217,0.02189,0.02587,-0.00398,TRUE,0.673,5.118,-0.079,369
Malawi,women_vitA,level,rbp,87,0.2524,0.14665,0.15345,-0.0068,TRUE,1.082,1.211,0.387,369
Malawi,child_iron,prev,iron_def,87,0.3505,0.08327,0.08577,-0.0025,TRUE,1.513,2.678,0.306,369
Malawi,child_iron,level,sf_reg,87,0.0291,8.32595,8.07669,0.24926,FALSE,0.902,1.429,-0.228,369
Malawi,women_iron,prev,iron_def,87,-0.0152,0.10467,0.09286,0.01181,FALSE,1.154,3.143,0.072,369
Malawi,women_iron,level,sf_reg,87,-0.1268,12.15378,11.709,0.44478,FALSE,0.957,1.638,-0.068,369
Malawi,women_folate,prev,folate_def,87,0.2205,0.17407,0.17556,-0.00149,TRUE,1.195,2.603,0.121,369
Malawi,women_folate,level,fol_nmol,87,0.3258,7.21198,8.10547,-0.8935,TRUE,1.254,1.756,0.336,369
Malawi,women_b12,prev,b12_def,87,0.3012,0.0353,0.04499,-0.00969,TRUE,1.677,4.737,0.181,369
Malawi,women_b12,level,vitb12,87,0.6109,131.71481,188.29224,-56.57743,TRUE,1.635,1.935,0.679,369
Malawi,child_zinc,prev,zinc_def,87,-0.1882,0.23994,0.20095,0.03899,FALSE,0.925,1.523,-0.143,369
Malawi,child_zinc,level,zn_gdl,87,-0.1062,7.98989,7.5159,0.47399,FALSE,0.959,1.252,-0.161,369
Malawi,women_zinc,prev,zinc_def,87,-0.1088,0.29633,0.22856,0.067780000000000007,FALSE,0.934,1.547,-0.121,369
Malawi,women_zinc,level,zn_gdl,87,-0.2106,9.8565,8.43672,1.41978,FALSE,0.94,1.277,-0.217,369
