method,outcome,held_out,n_train,n_test,pearson_r,spearman_r,mae_pp,rmse_pp,mean_bias_pp
gam_coords_k15,child_vitA,Gambia,186,30,0.566,0.582,10.38,12.74,2.39
gam_coords_k15,child_vitA,Ghana,141,75,0.344,0.288,15.68,18.18,12.56
gam_coords_k15,child_vitA,SierraLeone,202,14,0.188,0.226,6.15,7.95,1.24
gam_coords_k15,child_vitA,Malawi,119,97,-0.052,-0.029,14.62,18.58,-10.28
gam_coords_k15,women_vitA,Gambia,186,30,0.634,0.599,3.91,6.07,-2.3
gam_coords_k15,women_vitA,Ghana,141,75,0.205,0.141,6.44,6.68,5.76
gam_coords_k15,women_vitA,SierraLeone,202,14,-0.06,-0.124,1.55,1.86,0.25
gam_coords_k15,women_vitA,Malawi,119,97,-0.289,-0.321,4.38,5.72,0.66
gam_coords_k15,child_iron,Gambia,186,30,0.56,0.497,44.18,46.52,-44.18
gam_coords_k15,child_iron,Ghana,141,75,0.601,0.586,15.47,19.01,11.79
gam_coords_k15,child_iron,SierraLeone,202,14,0.296,0.305,15.83,17.08,15.83
gam_coords_k15,child_iron,Malawi,119,97,NA,NA,19.77,24.75,-19.77
gam_coords_k15,women_iron,Gambia,186,30,0.675,0.701,26.13,30.42,-26.13
gam_coords_k15,women_iron,Ghana,141,75,0.273,0.228,28.2,31.2,28.06
gam_coords_k15,women_iron,SierraLeone,202,14,0.233,0.156,5.86,7.29,-0.32
gam_coords_k15,women_iron,Malawi,119,97,0.087,0.032,14.52,19.61,-9.69
gam_coords_k30,child_vitA,Gambia,186,30,0.57,0.593,10.35,12.71,2.26
gam_coords_k30,child_vitA,Ghana,141,75,0.344,0.291,15.31,17.8,12.04
gam_coords_k30,child_vitA,SierraLeone,202,14,0.189,0.226,6.1,8.01,1.73
gam_coords_k30,child_vitA,Malawi,119,97,-0.051,-0.03,17.31,21.57,-14.98
gam_coords_k30,women_vitA,Gambia,186,30,0.628,0.62,3.92,6.07,-2.31
gam_coords_k30,women_vitA,Ghana,141,75,0.205,0.139,6.58,6.84,5.94
gam_coords_k30,women_vitA,SierraLeone,202,14,-0.035,-0.124,1.51,1.87,-0.34
gam_coords_k30,women_vitA,Malawi,119,97,-0.289,-0.317,3.58,5.74,-0.59
gam_coords_k30,child_iron,Gambia,186,30,0.56,0.497,45.6,47.9,-45.6
gam_coords_k30,child_iron,Ghana,141,75,0.601,0.586,16.02,19.47,12.57
gam_coords_k30,child_iron,SierraLeone,202,14,0.283,0.305,12.93,14.35,12.93
gam_coords_k30,child_iron,Malawi,119,97,NA,NA,19.77,24.75,-19.77
gam_coords_k30,women_iron,Gambia,186,30,0.701,0.723,26.31,30.54,-26.31
gam_coords_k30,women_iron,Ghana,141,75,0.272,0.226,30.27,33.2,30.19
gam_coords_k30,women_iron,SierraLeone,202,14,0.176,0.196,6.06,7.69,-2.26
gam_coords_k30,women_iron,Malawi,119,97,0.076,0.026,13.27,17.62,-4.67
gam_coords_k50,child_vitA,Gambia,186,30,0.567,0.582,10.39,12.75,2.43
gam_coords_k50,child_vitA,Ghana,141,75,0.344,0.291,14.96,17.41,11.45
gam_coords_k50,child_vitA,SierraLeone,202,14,0.193,0.226,6.17,8.16,2.46
gam_coords_k50,child_vitA,Malawi,119,97,-0.051,-0.031,17.03,21.24,-14.49
gam_coords_k50,women_vitA,Gambia,186,30,0.622,0.615,3.92,6.08,-2.32
gam_coords_k50,women_vitA,Ghana,141,75,0.205,0.141,6.72,6.99,6.11
gam_coords_k50,women_vitA,SierraLeone,202,14,-0.033,-0.124,1.51,1.86,-0.29
gam_coords_k50,women_vitA,Malawi,119,97,-0.289,-0.319,3.63,5.73,-0.52
gam_coords_k50,child_iron,Gambia,186,30,0.56,0.497,45.59,47.89,-45.59
gam_coords_k50,child_iron,Ghana,141,75,0.601,0.586,16.87,20.36,13.85
gam_coords_k50,child_iron,SierraLeone,202,14,0.283,0.305,12.72,14.15,12.72
gam_coords_k50,child_iron,Malawi,119,97,NA,NA,19.77,24.75,-19.77
gam_coords_k50,women_iron,Gambia,186,30,0.703,0.731,26.34,30.57,-26.34
gam_coords_k50,women_iron,Ghana,141,75,0.273,0.227,29.43,32.49,29.31
gam_coords_k50,women_iron,SierraLeone,202,14,0.202,0.16,5.94,7.41,-1.45
gam_coords_k50,women_iron,Malawi,119,97,0.092,0.023,14.87,20.22,-11.27
gam_coords_k30_2cov,child_vitA,Gambia,186,30,0.365,0.506,16.17,18.85,14.11
gam_coords_k30_2cov,child_vitA,Ghana,141,75,0.312,0.296,18.31,20.96,16.26
gam_coords_k30_2cov,child_vitA,SierraLeone,202,14,0.247,0.248,8.7,10.16,-6.61
gam_coords_k30_2cov,child_vitA,Malawi,119,97,NA,NA,23.74,28.02,-23.74
gam_coords_k30_2cov,women_vitA,Gambia,186,30,0.354,0.276,3.95,5.8,-1.54
gam_coords_k30_2cov,women_vitA,Ghana,141,75,-0.123,-0.061,9.06,9.46,8.49
gam_coords_k30_2cov,women_vitA,SierraLeone,202,14,-0.265,-0.317,1.67,2.34,-1.54
gam_coords_k30_2cov,women_vitA,Malawi,119,97,0.234,0.238,54.57,55.22,54.57
gam_coords_k30_2cov,child_iron,Gambia,186,30,0.517,0.469,41.99,44.43,-41.99
gam_coords_k30_2cov,child_iron,Ghana,141,75,0.536,0.539,21.33,24.75,18.79
gam_coords_k30_2cov,child_iron,SierraLeone,202,14,0.258,0.207,4.7,6.31,-3.8
gam_coords_k30_2cov,child_iron,Malawi,119,97,NA,NA,80.23,81.6,80.23
gam_coords_k30_2cov,women_iron,Gambia,186,30,0.75,0.746,33.32,36.16,-33.32
gam_coords_k30_2cov,women_iron,Ghana,141,75,0.284,0.236,34.51,42.24,34
gam_coords_k30_2cov,women_iron,SierraLeone,202,14,-0.027,0.062,13.52,14.71,-12.09
gam_coords_k30_2cov,women_iron,Malawi,119,97,NA,NA,82.76,84.37,82.76
