method,outcome,held_out,n_train,n_test,pearson_r,spearman_r,mae_pp,rmse_pp,mean_bias_pp
domain_inv_w30_k8,child_vitA,Gambia,176,30,-0.062,0.127,10.7,13.35,-1.43
domain_inv_w30_k8,child_vitA,Ghana,131,75,0.134,0.158,12.59,15.27,3.01
domain_inv_w30_k8,child_vitA,SierraLeone,192,14,0.148,0.174,8.32,10.1,-6.3
domain_inv_w30_k8,child_vitA,Malawi,119,87,-0.001,-0.02,16.61,20.37,9.84
domain_inv_w30_k8,women_vitA,Gambia,176,30,0.365,0.489,3.82,5.82,-1.77
domain_inv_w30_k8,women_vitA,Ghana,131,75,0.192,0.159,3.06,3.64,1.34
domain_inv_w30_k8,women_vitA,SierraLeone,192,14,NA,NA,1.61,2.33,-1.61
domain_inv_w30_k8,women_vitA,Malawi,119,87,0.115,0.132,4.54,5.61,1.04
domain_inv_w30_k8,child_iron,Gambia,176,30,0.478,0.406,36.96,39.46,-36.96
domain_inv_w30_k8,child_iron,Ghana,131,75,0.479,0.462,19.28,24.03,13.61
domain_inv_w30_k8,child_iron,SierraLeone,192,14,NA,NA,5.94,7.53,-5.94
domain_inv_w30_k8,child_iron,Malawi,119,87,0.036,0.077,25.46,28.13,22.9
domain_inv_w30_k8,women_iron,Gambia,176,30,NA,NA,34.85,38.28,-34.85
domain_inv_w30_k8,women_iron,Ghana,131,75,0.278,0.29,20.29,23.58,19.17
domain_inv_w30_k8,women_iron,SierraLeone,192,14,-0.128,-0.341,16.44,18.06,-11.05
domain_inv_w30_k8,women_iron,Malawi,119,87,-0.035,-0.035,20.76,24.36,16.43
domain_inv_w50_k8,child_vitA,Gambia,176,30,-0.061,0.133,10.69,13.34,-1.45
domain_inv_w50_k8,child_vitA,Ghana,131,75,0.3,0.338,12.16,14.66,6.19
domain_inv_w50_k8,child_vitA,SierraLeone,192,14,0.148,0.174,8.32,10.1,-6.3
domain_inv_w50_k8,child_vitA,Malawi,119,87,-0.003,-0.033,15.5,18.69,8.13
domain_inv_w50_k8,women_vitA,Gambia,176,30,NA,NA,3.92,6.07,-2.29
domain_inv_w50_k8,women_vitA,Ghana,131,75,0.192,0.159,3.06,3.64,1.34
domain_inv_w50_k8,women_vitA,SierraLeone,192,14,NA,NA,1.61,2.33,-1.61
domain_inv_w50_k8,women_vitA,Malawi,119,87,0.115,0.128,4.47,5.59,0.92
domain_inv_w50_k8,child_iron,Gambia,176,30,0.485,0.442,33.81,36.58,-33.81
domain_inv_w50_k8,child_iron,Ghana,131,75,0.563,0.459,15.62,19.91,4.3
domain_inv_w50_k8,child_iron,SierraLeone,192,14,-0.127,-0.122,24.2,33.18,16.96
domain_inv_w50_k8,child_iron,Malawi,119,87,0.074,0.055,21.46,24.96,17.32
domain_inv_w50_k8,women_iron,Gambia,176,30,NA,NA,34.85,38.28,-34.85
domain_inv_w50_k8,women_iron,Ghana,131,75,0.273,0.241,14.25,17.51,10.75
domain_inv_w50_k8,women_iron,SierraLeone,192,14,-0.161,-0.355,15.98,17.89,-9.53
domain_inv_w50_k8,women_iron,Malawi,119,87,-0.088,-0.034,24.62,28.2,21.35
domain_inv_w70_k8,child_vitA,Gambia,176,30,0.083,0.157,10.29,12.92,-0.94
domain_inv_w70_k8,child_vitA,Ghana,131,75,0.226,0.24,11.31,13.92,1.82
domain_inv_w70_k8,child_vitA,SierraLeone,192,14,0.168,0.156,9.18,11.07,-7.8
domain_inv_w70_k8,child_vitA,Malawi,119,87,-0.001,-0.021,16.58,20.3,9.81
domain_inv_w70_k8,women_vitA,Gambia,176,30,NA,NA,3.92,6.07,-2.29
domain_inv_w70_k8,women_vitA,Ghana,131,75,0.106,0.13,2.53,3.52,0.61
domain_inv_w70_k8,women_vitA,SierraLeone,192,14,NA,NA,1.61,2.33,-1.61
domain_inv_w70_k8,women_vitA,Malawi,119,87,0.061,0.107,2.76,5.85,-1.83
domain_inv_w70_k8,child_iron,Gambia,176,30,0.485,0.442,33.81,36.58,-33.81
domain_inv_w70_k8,child_iron,Ghana,131,75,0.626,0.539,16.36,21.63,5.3
domain_inv_w70_k8,child_iron,SierraLeone,192,14,0.293,0.405,7.5,9.21,4.85
domain_inv_w70_k8,child_iron,Malawi,119,87,0.052,0.031,23.31,26.82,20.05
domain_inv_w70_k8,women_iron,Gambia,176,30,0.635,0.706,33.95,37.35,-33.95
domain_inv_w70_k8,women_iron,Ghana,131,75,0.217,0.132,18.66,24,10.74
domain_inv_w70_k8,women_iron,SierraLeone,192,14,-0.268,-0.162,13.31,15.53,-10.82
domain_inv_w70_k8,women_iron,Malawi,119,87,0.041,-0.039,15.6,19.26,4.68
domain_inv_w50_k12,child_vitA,Gambia,176,30,0.079,0.172,10.32,12.95,-1.17
domain_inv_w50_k12,child_vitA,Ghana,131,75,0.327,0.303,11.69,14.17,5.33
domain_inv_w50_k12,child_vitA,SierraLeone,192,14,0.147,0.174,8.28,10.06,-6.24
domain_inv_w50_k12,child_vitA,Malawi,119,87,-0.001,-0.037,15.33,18.5,7.85
domain_inv_w50_k12,women_vitA,Gambia,176,30,NA,NA,3.92,6.07,-2.29
domain_inv_w50_k12,women_vitA,Ghana,131,75,0.198,0.166,3.03,3.62,1.28
domain_inv_w50_k12,women_vitA,SierraLeone,192,14,NA,NA,1.61,2.33,-1.61
domain_inv_w50_k12,women_vitA,Malawi,119,87,-0.088,-0.092,2.52,6.05,-2.3
domain_inv_w50_k12,child_iron,Gambia,176,30,0.542,0.481,35.8,38.16,-35.8
domain_inv_w50_k12,child_iron,Ghana,131,75,0.548,0.443,17.03,21.64,7.29
domain_inv_w50_k12,child_iron,SierraLeone,192,14,-0.151,-0.069,8.23,10.66,-0.37
domain_inv_w50_k12,child_iron,Malawi,119,87,0.063,0.02,15.17,18.47,5.02
domain_inv_w50_k12,women_iron,Gambia,176,30,0.396,0.459,34.69,38.06,-34.69
domain_inv_w50_k12,women_iron,Ghana,131,75,0.273,0.216,18.27,21.58,16.19
domain_inv_w50_k12,women_iron,SierraLeone,192,14,0.065,0.159,16.09,17.64,-16.09
domain_inv_w50_k12,women_iron,Malawi,119,87,0.04,0.046,15.89,21.48,-2.81
