method,outcome,held_out,n_train,n_test,pearson_r,spearman_r,mae_pp,rmse_pp,mean_bias_pp
spatial_only,child_vitA,Gambia,186,30,0.57,0.593,10.35,12.71,2.26
spatial_only,child_vitA,Ghana,141,75,0.344,0.291,15.31,17.8,12.04
spatial_only,child_vitA,SierraLeone,202,14,0.189,0.226,6.1,8.01,1.73
spatial_only,child_vitA,Malawi,119,97,-0.051,-0.03,17.31,21.57,-14.98
spatial_only,women_vitA,Gambia,186,30,0.628,0.62,3.92,6.07,-2.31
spatial_only,women_vitA,Ghana,141,75,0.205,0.139,6.58,6.84,5.94
spatial_only,women_vitA,SierraLeone,202,14,-0.035,-0.124,1.51,1.87,-0.34
spatial_only,women_vitA,Malawi,119,97,-0.289,-0.317,3.58,5.74,-0.59
spatial_only,child_iron,Gambia,186,30,0.56,0.497,45.6,47.9,-45.6
spatial_only,child_iron,Ghana,141,75,0.601,0.586,16.02,19.47,12.57
spatial_only,child_iron,SierraLeone,202,14,0.283,0.305,12.93,14.35,12.93
spatial_only,child_iron,Malawi,119,97,NA,NA,19.77,24.75,-19.77
spatial_only,women_iron,Gambia,186,30,0.701,0.723,26.31,30.54,-26.31
spatial_only,women_iron,Ghana,141,75,0.272,0.226,30.27,33.2,30.19
spatial_only,women_iron,SierraLeone,202,14,0.176,0.196,6.06,7.69,-2.26
spatial_only,women_iron,Malawi,119,97,0.076,0.026,13.27,17.62,-4.67
spatial_plus_top5_linear,child_vitA,Gambia,186,30,0.343,0.356,10.9,13.22,5.13
spatial_plus_top5_linear,child_vitA,Ghana,141,75,0.363,0.328,19.57,22.38,18.19
spatial_plus_top5_linear,child_vitA,SierraLeone,202,14,0.249,0.222,6.49,7.75,-1.69
spatial_plus_top5_linear,child_vitA,Malawi,119,97,0.022,0.04,17.3,21.27,-12.05
spatial_plus_top5_linear,women_vitA,Gambia,186,30,0.572,0.681,3.53,5.8,-2.39
spatial_plus_top5_linear,women_vitA,Ghana,141,75,0.175,0.15,5,5.36,3.97
spatial_plus_top5_linear,women_vitA,SierraLeone,202,14,0.084,0.052,1.5,1.85,-0.27
spatial_plus_top5_linear,women_vitA,Malawi,119,97,0.161,0.196,4.05,5.34,0.74
spatial_plus_top5_linear,child_iron,Gambia,186,30,0.488,0.449,45.33,47.42,-45.33
spatial_plus_top5_linear,child_iron,Ghana,141,75,0.595,0.567,14.61,18.62,9.58
spatial_plus_top5_linear,child_iron,SierraLeone,202,14,0.384,0.332,13.62,15.46,13.62
spatial_plus_top5_linear,child_iron,Malawi,119,97,NA,NA,19.77,24.75,-19.77
spatial_plus_top5_linear,women_iron,Gambia,186,30,0.739,0.789,24.72,28.36,-24.72
spatial_plus_top5_linear,women_iron,Ghana,141,75,0.317,0.249,35.95,38.99,35.95
spatial_plus_top5_linear,women_iron,SierraLeone,202,14,0.079,0.024,6.55,8.37,-2.27
spatial_plus_top5_linear,women_iron,Malawi,119,97,NA,NA,17.24,23.78,-17.24
spatial_plus_top10_linear,child_vitA,Gambia,186,30,0.495,0.435,9.15,11.47,-1.8
spatial_plus_top10_linear,child_vitA,Ghana,141,75,0.275,0.335,14.69,17.65,9.49
spatial_plus_top10_linear,child_vitA,SierraLeone,202,14,0.266,0.169,7.37,9.7,5.38
