outcome,held_out,n_test,r_point,r_lo_80,r_hi_80,r_lo_95,r_hi_95,ci_excludes_zero
child_vitA,Gambia,30,0.43,0.225,0.596,0.131,0.661,TRUE
child_vitA,Ghana,75,0.379,0.263,0.507,0.177,0.57,TRUE
child_vitA,SierraLeone,14,0.34,0.046,0.601,-0.108,0.678,FALSE
child_vitA,Malawi,97,0,-0.1,0.09,-0.151,0.132,FALSE
women_vitA,Gambia,30,0.582,0.454,0.735,0.358,0.787,TRUE
women_vitA,Ghana,75,0.181,0.021,0.34,-0.088,0.424,FALSE
women_vitA,SierraLeone,14,0.144,-0.179,0.409,-0.38,0.495,FALSE
women_vitA,Malawi,97,0.154,0.019,0.288,-0.032,0.373,FALSE
child_iron,Gambia,30,0.502,0.315,0.653,0.197,0.731,TRUE
child_iron,Ghana,75,0.585,0.494,0.682,0.446,0.72,TRUE
child_iron,SierraLeone,14,0.296,-0.141,0.588,-0.383,0.69,FALSE
child_iron,Malawi,97,NA,NA,NA,NA,NA,NA
women_iron,Gambia,30,0.663,0.555,0.759,0.496,0.802,TRUE
women_iron,Ghana,75,0.31,0.169,0.451,0.071,0.505,TRUE
women_iron,SierraLeone,14,0.054,-0.349,0.465,-0.512,0.634,FALSE
women_iron,Malawi,97,NA,NA,NA,NA,NA,NA
