method,outcome,held_out,n_train,n_test,pearson_r,spearman_r,mae_pp,rmse_pp,mean_bias_pp
spatial_top8,child_vitA,Gambia,186,30,0.43,0.432,9.29,11.7,-0.56
spatial_top8,child_vitA,Ghana,141,75,0.379,0.33,19,21.94,17.18
spatial_top8,child_vitA,SierraLeone,202,14,0.34,0.38,6.02,7.5,-1.54
spatial_top8,child_vitA,Malawi,119,97,0,0.019,15.37,19.25,4.25
spatial_top8,women_vitA,Gambia,186,30,0.582,0.666,3.54,6.15,-3.21
spatial_top8,women_vitA,Ghana,141,75,0.181,0.134,4.6,5.26,3.53
spatial_top8,women_vitA,SierraLeone,202,14,0.144,0.151,1.5,1.8,0.14
spatial_top8,women_vitA,Malawi,119,97,0.154,0.21,3.02,5.38,-0.8
spatial_top8,child_iron,Gambia,186,30,0.502,0.443,50.44,52.28,-50.44
spatial_top8,child_iron,Ghana,141,75,0.585,0.531,16.12,20.13,11.62
spatial_top8,child_iron,SierraLeone,202,14,0.296,0.332,12.84,14.94,12.71
spatial_top8,child_iron,Malawi,119,97,NA,NA,19.77,24.75,-19.77
spatial_top8,women_iron,Gambia,186,30,0.663,0.722,21.55,25.95,-21.55
spatial_top8,women_iron,Ghana,141,75,0.31,0.233,36.23,39.38,36.2
spatial_top8,women_iron,SierraLeone,202,14,0.054,0.007,6.97,8.75,-2.85
spatial_top8,women_iron,Malawi,119,97,NA,NA,17.24,23.78,-17.24
spatial_top10,child_vitA,Gambia,186,30,0.495,0.435,9.15,11.47,-1.8
spatial_top10,child_vitA,Ghana,141,75,0.275,0.335,14.69,17.65,9.49
spatial_top10,child_vitA,SierraLeone,202,14,0.266,0.169,7.37,9.7,5.38
spatial_top10,child_vitA,Malawi,119,97,-0.013,0.012,14.44,17.82,-3.96
spatial_top10,women_vitA,Gambia,186,30,0.525,0.694,3.5,6.02,-2.86
spatial_top10,women_vitA,Ghana,141,75,0.208,0.147,4.3,4.88,3.16
spatial_top10,women_vitA,SierraLeone,202,14,-0.069,-0.025,2.17,2.39,1.49
spatial_top10,women_vitA,Malawi,119,97,0.037,0.113,5.43,6.26,2.83
spatial_top10,child_iron,Gambia,186,30,0.451,0.361,46.21,48.36,-46.21
spatial_top10,child_iron,Ghana,141,75,0.559,0.533,16.2,19.72,11.35
spatial_top10,child_iron,SierraLeone,202,14,0.331,0.282,9.04,11.47,7.88
spatial_top10,child_iron,Malawi,119,97,NA,NA,19.77,24.75,-19.77
spatial_top10,women_iron,Gambia,186,30,0.391,0.377,18.48,23.82,-18.34
