"outcome","test_country","strategy","n_area","spearman"
"child_vitA","Gambia","full_z_lasso",30,0.607
"child_vitA","Gambia","pcaDom3_lasso",30,0.069
"child_vitA","Gambia","pcaDom3_ranger",30,0.274
"child_vitA","Ghana","full_z_lasso",71,0.34
"child_vitA","Ghana","pcaDom3_lasso",71,0.344
"child_vitA","Ghana","pcaDom3_ranger",71,-0.009
"child_vitA","SierraLeone","full_z_lasso",14,0.011
"child_vitA","SierraLeone","pcaDom3_lasso",14,-0.02
"child_vitA","SierraLeone","pcaDom3_ranger",14,-0.174
"child_vitA","Malawi","full_z_lasso",83,0.13
"child_vitA","Malawi","pcaDom3_lasso",83,-0.088
"child_vitA","Malawi","pcaDom3_ranger",83,-0.174
"women_iron","Gambia","full_z_lasso",30,0.693
"women_iron","Gambia","pcaDom3_lasso",30,-0.723
"women_iron","Gambia","pcaDom3_ranger",30,0.169
"women_iron","Ghana","full_z_lasso",72,0.368
"women_iron","Ghana","pcaDom3_lasso",72,0.017
"women_iron","Ghana","pcaDom3_ranger",72,0.316
"women_iron","SierraLeone","full_z_lasso",14,-0.073
"women_iron","SierraLeone","pcaDom3_lasso",14,-0.024
"women_iron","SierraLeone","pcaDom3_ranger",14,0.007
"women_iron","Malawi","full_z_lasso",76,0.108
"women_iron","Malawi","pcaDom3_lasso",76,0.04
"women_iron","Malawi","pcaDom3_ranger",76,0.064
"child_iron","Gambia","full_z_lasso",30,0.498
"child_iron","Gambia","pcaDom3_lasso",30,0.324
"child_iron","Gambia","pcaDom3_ranger",30,0.076
"child_iron","Ghana","full_z_lasso",71,0.345
"child_iron","Ghana","pcaDom3_lasso",71,0.421
"child_iron","Ghana","pcaDom3_ranger",71,0.261
"child_iron","SierraLeone","full_z_lasso",14,-0.207
"child_iron","SierraLeone","pcaDom3_lasso",14,-0.13
"child_iron","SierraLeone","pcaDom3_ranger",14,-0.604
"child_iron","Malawi","full_z_lasso",83,0.024
"child_iron","Malawi","pcaDom3_lasso",83,0.013
"child_iron","Malawi","pcaDom3_ranger",83,0.004
