"outcome","country","model","p_all","p_hy","auc_all","auc_hy","delta"
"child_vitA","Gambia","ranger",1250,1193,0.605,0.607,0.002
"child_vitA","Gambia","glmnet",1250,1193,0.614,0.612,-0.002
"child_vitA","Ghana","ranger",1742,1677,0.541,0.53,-0.011
"child_vitA","Ghana","glmnet",1742,1677,0.553,0.553,0
"child_vitA","SierraLeone","ranger",1045,980,0.494,0.505,0.011
"child_vitA","SierraLeone","glmnet",1045,980,0.472,0.474,0.002
"child_vitA","Malawi","ranger",1037,972,0.533,0.539,0.006
"child_vitA","Malawi","glmnet",1037,972,0.529,0.529,0
"women_iron","Gambia","ranger",1250,1193,0.59,0.591,0.001
"women_iron","Gambia","glmnet",1250,1193,0.601,0.61,0.009
"women_iron","Ghana","ranger",1742,1677,0.587,0.589,0.001
"women_iron","Ghana","glmnet",1742,1677,0.511,0.511,0
"women_iron","SierraLeone","ranger",1045,980,0.565,0.571,0.006
"women_iron","SierraLeone","glmnet",1045,980,0.537,0.551,0.014
"women_iron","Malawi","ranger",1037,972,0.523,0.501,-0.022
"women_iron","Malawi","glmnet",1037,972,0.495,0.45,-0.045
"child_iron","Gambia","ranger",1250,1193,0.518,0.521,0.003
"child_iron","Gambia","glmnet",1250,1193,0.531,0.531,0.001
"child_iron","Ghana","ranger",1742,1677,0.683,0.682,-0.001
"child_iron","Ghana","glmnet",1742,1677,0.666,0.665,-0.001
"child_iron","SierraLeone","ranger",1045,980,0.486,0.49,0.004
"child_iron","SierraLeone","glmnet",1045,980,0.52,0.444,-0.076
"child_iron","Malawi","ranger",1037,972,0.562,0.558,-0.005
"child_iron","Malawi","glmnet",1037,972,0.521,0.521,0
