"country","outcome","n_areas","logged","rho_indicator","rho_biomarker","rho_gain","mae_indicator_pp","mae_biomarker_pp","bias_biomarker_pp","rho_biomarker_shift","mae_biomarker_shift_pp","bias_biomarker_shift_pp","rho_biomarker_lmcal","mae_biomarker_lmcal_pp"
"gambia","child_vitA",30,FALSE,0.514,0.538,0.023,9.4,10.27,5.79,0.413,10.39,-4.87,0.472,9.79
"gambia","women_vitA",30,FALSE,0.418,0.343,-0.075,3.16,6.45,5.59,0.228,3.34,-1.59,0.156,3.39
"gambia","child_iron",30,FALSE,0.275,0.19,-0.085,11.88,21.05,19.64,0.171,11.99,-1.32,0.173,11.98
"gambia","women_iron",30,FALSE,0.692,0.671,-0.022,9.3,16.5,13.15,0.645,9.73,-2.92,0.649,9.67
"ghana","child_vitA",73,FALSE,0.183,0.349,0.165,10.02,9.62,5.46,0.316,9.8,-5.52,0.315,9.79
"ghana","women_vitA",74,FALSE,-0.082,0.244,0.327,2.29,3.67,1.8,0.226,2.23,-0.6,0.176,2.18
"ghana","child_iron",73,TRUE,0.561,0.55,-0.011,12.65,12.14,-2.35,0.542,12.9,-5.99,0.549,12.81
"ghana","women_iron",74,TRUE,0.437,0.459,0.022,5.75,5.94,2.87,0.442,6.11,-3.55,0.437,6.14
"ghana","women_folate",69,TRUE,0.183,0.145,-0.038,23.13,22.29,-3.16,0.133,22.24,0.05,0.146,22.98
"ghana","women_b12",69,TRUE,0.158,0.257,0.099,9.97,9.74,-4.09,0.245,9.69,-6.16,0.247,9.59
"malawi","child_vitA",95,FALSE,0.161,0.041,-0.12,7.18,16.25,14.5,-0.017,7.49,-4.54,-0.02,7.49
"malawi","women_vitA",95,FALSE,0.003,0.199,0.196,2.12,3.59,1.5,0.193,2.05,-0.66,0.142,2.02
"malawi","child_iron",95,TRUE,0.033,0.271,0.239,8.37,10.92,8.31,0.249,8.18,-4.95,0.261,8.05
"malawi","women_iron",94,TRUE,0.168,0.085,-0.083,8.13,11.27,6.05,0.037,8.72,-5.44,0.043,8.71
"malawi","women_folate",95,TRUE,0.398,0.457,0.059,15.18,14.52,-4.11,0.443,15.17,-9.1,0.444,15.08
"malawi","women_b12",95,TRUE,0.34,0.361,0.021,3.27,3.26,-0.6,0.342,3.05,-1.61,0.309,3.16
"malawi","child_zinc",95,FALSE,-0.018,-0.039,-0.022,19.15,20.09,3.25,-0.04,19.89,0.07,-0.051,19.23
"malawi","women_zinc",95,FALSE,-0.03,0.047,0.077,22.15,21.87,-1.02,0.022,22.13,6.83,0.015,21.87
