"n_test","r_max","pearson","spearman","rmse_pp","pattern_rmse_pp","level_bias_pp","calib","outcome","held_out","model","scale"
30,0.698,0.601,0.617,13.03,13.03,-0.07,20.49,"child_vitA","gambia","spatial_tps","continuous"
30,0.698,0.623,0.663,11.8,11.62,-2.07,2.74,"child_vitA","gambia","PROD enet30","continuous"
30,0.698,0.529,0.669,12.98,12.62,-3.04,5.38,"child_vitA","gambia","ridge_all","continuous"
30,0.698,0.208,0.229,14.76,13.07,6.86,2.38,"child_vitA","gambia","curated16_ridge","continuous"
30,0.698,0.523,0.64,14.25,12.17,-7.42,2.85,"child_vitA","gambia","centered_own ridge_all","continuous"
30,0.698,0.15,0.214,15.11,13.14,-7.47,1.83,"child_vitA","gambia","centered_own decorr20","continuous"
30,0.698,0.473,0.554,13.41,13.15,-2.64,26.51,"child_vitA","gambia","spatial_tps","logit"
30,0.698,-0.055,-0.024,15.82,13.4,-8.41,-0.52,"child_vitA","gambia","PROD enet30","logit"
30,0.698,0.457,0.474,15.76,12.86,-9.11,6.61,"child_vitA","gambia","ridge_all","logit"
30,0.698,-0.402,-0.321,14.61,14.15,-3.65,-2.76,"child_vitA","gambia","curated16_ridge","logit"
30,0.698,0.281,0.387,18.33,13.03,-12.89,4.08,"child_vitA","gambia","centered_own ridge_all","logit"
30,0.698,0.158,0.167,18.36,13.1,-12.86,1.25,"child_vitA","gambia","centered_own decorr20","logit"
75,0.326,0.346,0.298,15.34,11.01,10.68,0.62,"child_vitA","ghana","spatial_tps","continuous"
75,0.326,0.443,0.449,11.21,10.3,-4.41,1.18,"child_vitA","ghana","PROD enet30","continuous"
75,0.326,0.19,0.294,12.85,12.78,1.31,0.26,"child_vitA","ghana","ridge_all","continuous"
75,0.326,0.26,0.274,12.88,12.87,-0.53,0.31,"child_vitA","ghana","curated16_ridge","continuous"
75,0.326,0.17,0.295,15.55,15.4,-2.16,0.16,"child_vitA","ghana","centered_own ridge_all","continuous"
75,0.326,0.23,0.257,11.4,11.17,-2.31,0.8,"child_vitA","ghana","centered_own decorr20","continuous"
75,0.326,0.351,0.294,17.26,11.9,12.51,0.44,"child_vitA","ghana","spatial_tps","logit"
75,0.326,0.435,0.43,13.5,10.67,-8.27,2.22,"child_vitA","ghana","PROD enet30","logit"
75,0.326,0.09,0.197,20.78,20.68,2.12,0.06,"child_vitA","ghana","ridge_all","logit"
75,0.326,0.022,0.08,22.49,22.44,1.52,0.01,"child_vitA","ghana","curated16_ridge","logit"
75,0.326,0.073,0.215,22.5,21.31,-7.22,0.04,"child_vitA","ghana","centered_own ridge_all","logit"
75,0.326,0.22,0.211,13.49,11.2,-7.53,1.4,"child_vitA","ghana","centered_own decorr20","logit"
14,0,0.136,0.099,6.01,5.95,0.84,0.27,"child_vitA","sierraleone","spatial_tps","continuous"
14,0,0,-0.033,6.06,5.99,0.89,0,"child_vitA","sierraleone","PROD enet30","continuous"
14,0,-0.027,0.099,6.12,6.02,1.09,-0.08,"child_vitA","sierraleone","ridge_all","continuous"
14,0,NA,NA,12.55,5.63,-11.22,NA,"child_vitA","sierraleone","curated16_ridge","continuous"
14,0,-0.01,0.055,6.82,6.71,1.22,-0.02,"child_vitA","sierraleone","centered_own ridge_all","continuous"
14,0,-0.05,0.002,8.12,7.99,1.46,-0.05,"child_vitA","sierraleone","centered_own decorr20","continuous"
14,0,0.156,0.147,6.45,5.59,-3.22,0.62,"child_vitA","sierraleone","spatial_tps","logit"
14,0,-0.022,-0.033,6.83,6.03,-3.21,-0.06,"child_vitA","sierraleone","PROD enet30","logit"
14,0,-0.026,0.116,6.5,5.76,-3.01,-0.13,"child_vitA","sierraleone","ridge_all","logit"
14,0,-0.155,-0.138,11.18,5.78,-9.57,-1.25,"child_vitA","sierraleone","curated16_ridge","logit"
14,0,0.004,-0.002,7.38,5.84,-4.51,0.02,"child_vitA","sierraleone","centered_own ridge_all","logit"
14,0,0.073,0.178,7.31,6.03,-4.14,0.16,"child_vitA","sierraleone","centered_own decorr20","logit"
97,0.429,-0.089,-0.014,15.89,11.21,11.26,-0.34,"child_vitA","malawi","spatial_tps","continuous"
97,0.429,0.199,0.064,14.2,10.48,9.57,0.63,"child_vitA","malawi","PROD enet30","continuous"
97,0.429,-0.128,0.008,11.77,11.6,1.97,-0.39,"child_vitA","malawi","ridge_all","continuous"
97,0.429,-0.2,-0.112,15.39,11.37,10.36,-0.86,"child_vitA","malawi","curated16_ridge","continuous"
97,0.429,0.056,0.136,14.23,12.16,7.39,0.09,"child_vitA","malawi","centered_own ridge_all","continuous"
97,0.429,0.055,0.012,13.01,10.64,7.49,0.41,"child_vitA","malawi","centered_own decorr20","continuous"
97,0.429,-0.113,-0.023,11.35,11,-2.79,-0.63,"child_vitA","malawi","spatial_tps","logit"
97,0.429,-0.207,-0.017,12.78,11.16,-6.23,-1.17,"child_vitA","malawi","PROD enet30","logit"
97,0.429,-0.126,0.038,11.19,11.17,-0.7,-0.56,"child_vitA","malawi","ridge_all","logit"
97,0.429,-0.205,-0.098,11.49,11.14,2.81,-1.18,"child_vitA","malawi","curated16_ridge","logit"
97,0.429,-0.103,0.057,18.05,16.68,6.91,-0.09,"child_vitA","malawi","centered_own ridge_all","logit"
97,0.429,0.218,-0.039,10.72,10.37,2.7,1.24,"child_vitA","malawi","centered_own decorr20","logit"
30,0.606,0.574,0.539,47.24,14.39,-45,5.23,"child_iron","gambia","spatial_tps","continuous"
30,0.606,0.55,0.551,36.35,12.92,-33.98,0.81,"child_iron","gambia","PROD enet30","continuous"
30,0.606,0.584,0.551,34.47,13.15,-31.86,1.95,"child_iron","gambia","ridge_all","continuous"
30,0.606,0.048,0.065,32.35,15.43,-28.44,0.25,"child_iron","gambia","curated16_ridge","continuous"
30,0.606,0.584,0.541,45.65,13.26,-43.68,2.09,"child_iron","gambia","centered_own ridge_all","continuous"
30,0.606,0.34,0.287,46.1,14.77,-43.67,2.86,"child_iron","gambia","centered_own decorr20","continuous"
30,0.606,0.57,0.531,46.65,13.77,-44.57,2.85,"child_iron","gambia","spatial_tps","logit"
30,0.606,0.539,0.561,44.95,12.93,-43.05,1.17,"child_iron","gambia","PROD enet30","logit"
30,0.606,0.582,0.526,48.89,14.23,-46.77,4.52,"child_iron","gambia","ridge_all","logit"
30,0.606,0.176,0.15,37.54,15.09,-34.38,0.72,"child_iron","gambia","curated16_ridge","logit"
30,0.606,0.585,0.52,51.84,13.85,-49.95,3.23,"child_iron","gambia","centered_own ridge_all","logit"
30,0.606,0.169,0.096,52.42,15.08,-50.2,1.39,"child_iron","gambia","centered_own decorr20","logit"
75,0.723,0.6,0.585,18.21,15.1,10.19,0.77,"child_iron","ghana","spatial_tps","continuous"
75,0.723,0.58,0.52,17.09,15.21,7.79,0.81,"child_iron","ghana","PROD enet30","continuous"
75,0.723,0.556,0.533,18.96,16.47,9.39,0.63,"child_iron","ghana","ridge_all","continuous"
75,0.723,0.025,0.123,36.32,28.94,21.94,0.02,"child_iron","ghana","curated16_ridge","continuous"
75,0.723,0.09,0.308,20.91,20.06,5.91,0.17,"child_iron","ghana","centered_own ridge_all","continuous"
75,0.723,0.398,0.413,17.9,16.93,5.83,1.13,"child_iron","ghana","centered_own decorr20","continuous"
75,0.723,0.586,0.584,23.13,21.08,9.52,0.42,"child_iron","ghana","spatial_tps","logit"
75,0.723,0.539,0.509,16.22,16.19,0.97,0.68,"child_iron","ghana","PROD enet30","logit"
75,0.723,0.562,0.52,16.81,16.67,2.18,0.61,"child_iron","ghana","ridge_all","logit"
75,0.723,-0.105,-0.07,41.53,33.55,24.47,-0.07,"child_iron","ghana","curated16_ridge","logit"
75,0.723,0.422,0.444,16.92,16.83,1.74,1.34,"child_iron","ghana","centered_own ridge_all","logit"
75,0.723,0.465,0.452,16.51,16.45,-1.37,1.33,"child_iron","ghana","centered_own decorr20","logit"
14,0,0.3,0.314,10.86,6.3,8.85,0.24,"child_iron","sierraleone","spatial_tps","continuous"
14,0,-0.104,-0.196,16.43,5.71,15.4,-0.17,"child_iron","sierraleone","PROD enet30","continuous"
14,0,-0.19,-0.169,17.46,7.47,15.79,-0.18,"child_iron","sierraleone","ridge_all","continuous"
14,0,-0.038,-0.174,7.73,6.6,4.03,-0.04,"child_iron","sierraleone","curated16_ridge","continuous"
14,0,0.355,0.367,21.85,4.74,21.33,0.46,"child_iron","sierraleone","centered_own ridge_all","continuous"
14,0,0.119,0.134,22.25,4.8,21.73,0.29,"child_iron","sierraleone","centered_own decorr20","continuous"
