"outcome","country","model","n","n_pred","reliability","r_max","pearson","pearson_sd","spearman","pearson_w","r_share","rmse_pp","mae_pp","calib","secs"
"child_vitA","gambia","gam_spatial_only",30,237,0.451,0.671,0.097,0.032,0.001,0.126,0.144,13.6,10.75,0.35,1.1
"child_vitA","gambia","gam_decorr12",30,237,0.451,0.671,0.367,0.161,0.387,0.518,0.547,14.25,11.01,0.41,3
"child_vitA","gambia","gam_decorr12_spatial",30,237,0.451,0.671,0.367,0.161,0.387,0.518,0.547,14.25,11.01,0.41,2.6
"child_vitA","gambia","gam_decorr20_spatial",30,237,0.451,0.671,0.037,0.154,0.04,0.047,0.054,41.72,31.13,0.01,3.1
"child_vitA","gambia","gam_curated",30,237,0.451,0.671,0.134,0.05,0.276,-0.078,0.2,25.52,17.02,0.08,2.2
"child_vitA","gambia","gam_curated_spatial",30,237,0.451,0.671,0.134,0.05,0.276,-0.078,0.2,25.52,17.02,0.08,2.3
"child_vitA","gambia","gam_d40s12_spatial",30,237,0.451,0.671,0.119,0.096,0.156,0.201,0.177,18.45,14.38,0.13,3.2
"child_vitA","tanzania","gam_spatial_only",167,237,0.587,0.766,0.023,0.087,0.004,0.388,0.031,16.89,13.67,0.06,7.8
"child_vitA","tanzania","gam_decorr12",167,237,0.587,0.766,-0.099,0.063,-0.059,0.156,-0.129,17.09,13.7,-0.28,3.5
"child_vitA","tanzania","gam_decorr12_spatial",167,237,0.587,0.766,0.024,0.094,0.03,0.442,0.031,18.38,14.69,0.04,13.3
"child_vitA","tanzania","gam_decorr20_spatial",167,237,0.587,0.766,0.038,0.069,0.071,0.42,0.049,18.83,14.65,0.05,13
"child_vitA","tanzania","gam_curated",167,237,0.587,0.766,0.085,0.048,0.103,0.432,0.111,17.66,13.84,0.14,2.5
"child_vitA","tanzania","gam_curated_spatial",167,237,0.587,0.766,0.116,0.044,0.139,0.497,0.151,18.39,14.1,0.16,12.1
"child_vitA","tanzania","gam_d40s12_spatial",167,237,0.587,0.766,0.083,0.062,0.084,0.445,0.109,17.5,13.87,0.15,11.2
"child_iron","gambia","gam_spatial_only",30,366,0.319,0.565,0.181,0.041,0.227,0.147,0.321,15.24,12.9,0.55,2.3
"child_iron","gambia","gam_decorr12",30,366,0.319,0.565,0.257,0.102,0.234,0.255,0.456,20.54,16.97,0.22,3.7
"child_iron","gambia","gam_decorr12_spatial",30,366,0.319,0.565,0.257,0.102,0.234,0.255,0.456,20.54,16.97,0.22,3.7
"child_iron","gambia","gam_decorr20_spatial",30,366,0.319,0.565,0.048,0.182,-0.046,0.003,0.085,31.06,26.03,0.03,3.9
"child_iron","gambia","gam_curated",30,366,0.319,0.565,0.044,0.157,-0.003,0.184,0.077,29.56,24.36,0.02,3.1
"child_iron","gambia","gam_curated_spatial",30,366,0.319,0.565,0.044,0.157,-0.003,0.184,0.077,29.56,24.36,0.02,2.9
"child_iron","gambia","gam_d40s12_spatial",30,366,0.319,0.565,0.15,0.114,0.098,0.263,0.265,21.15,17.05,0.14,4.3
"child_iron","ghana","gam_spatial_only",75,366,0.451,0.672,0.527,0.037,0.519,0.59,0.785,16.05,12.66,0.76,4.3
"child_iron","ghana","gam_decorr12",75,366,0.451,0.672,0.534,0.065,0.47,0.593,0.796,16.63,12.89,0.65,4.1
"child_iron","ghana","gam_decorr12_spatial",75,366,0.451,0.672,0.532,0.054,0.484,0.594,0.792,16.56,13.03,0.65,6.2
"child_iron","ghana","gam_decorr20_spatial",75,366,0.451,0.672,0.554,0.038,0.5,0.582,0.825,16.93,12.7,0.6,7.7
"child_iron","ghana","gam_curated",75,366,0.451,0.672,0.569,0.029,0.576,0.675,0.848,15.97,12.11,0.69,2.9
"child_iron","ghana","gam_curated_spatial",75,366,0.451,0.672,0.567,0.03,0.575,0.672,0.844,16.07,12.23,0.68,5
"child_iron","ghana","gam_d40s12_spatial",75,366,0.451,0.672,0.608,0.029,0.528,0.562,0.905,15.31,12.32,0.74,7.1
"child_iron","malawi","gam_spatial_only",97,366,0.039,0.199,0.242,0.039,0.28,0.229,1.219,14.45,10.88,1.02,4.2
"child_iron","malawi","gam_decorr12",97,366,0.039,0.199,0.275,0.034,0.189,0.243,1.385,14.92,11.15,0.5,4.9
"child_iron","malawi","gam_decorr12_spatial",97,366,0.039,0.199,0.341,0.049,0.298,0.311,1.717,14.59,10.68,0.56,6.9
